rho,VaR95,ES95,TER95,TER99
0.0,1.56,2.233,1.494,3.13
0.3,1.562,2.199,1.53,2.979
0.7,1.579,2.134,1.482,4.141
0.9,1.622,2.106,1.304,5.281
