date,logret
2000-01-04,0.013575090053778993
2000-01-05,0.006574518508894123
2000-01-06,0.013591327133995357
2000-01-07,-0.00019015021924584374
2000-01-10,0.0010453790450704048
2000-01-11,0.007664322894172848
2000-01-12,-0.003115414367803382
2000-01-13,0.003115414367803382
2000-01-14,-0.002170324041338212
2000-01-18,-0.003501304736124311
2000-01-19,-0.0009484067478719993
2000-01-20,0.0005691519789383648
2000-01-21,-0.004657581729005322
2000-01-24,0.005321183213280456
2000-01-25,0.003311417946229689
2000-01-26,-0.00018892877441434308
2000-01-27,-0.008920157837479792
2000-01-28,0.02112688217619141
2000-01-31,0.0016784785738472863
2000-02-01,0.0031627933341926706
2000-02-02,0.006757095177920114
2000-02-03,-0.004437877106045818
2000-02-04,-0.0035273405179676587
2000-02-07,0.011188798587260962
2000-02-08,0.007694459506507378
2000-02-09,-0.004389581808293741
2000-02-10,-0.0033968359492329014
2000-02-11,0.002296423183445917
2000-02-14,-0.003124428198781004
2000-02-15,0.0009199632663543511
2000-02-16,0.0057763879498331505
2000-02-17,0.008103845851960223
2000-02-18,0.005516631671006245
2000-02-22,0.0014419613169014411
2000-02-23,0.0006302048374227098
2000-02-24,-0.0014410522173138318
2000-02-25,0.00027035551915144396
2000-02-28,-0.016443704605576315
2000-02-29,0.006482560934894188
2000-03-01,-0.02562588377336983
2000-03-02,0.002517835992341233
2000-03-03,0.003996845028853002
2000-03-06,-0.0005567412225095936
2000-03-07,-0.014396808444549158
2000-03-08,0.0064761594780158305
2000-03-09,-0.004124876946365319
2000-03-10,-0.001692365954885311
2000-03-13,-0.00897969075649474
2000-03-14,-0.004472577280179912
2000-03-15,0.006938202047541253
2000-03-16,0.00047346243960078027
2000-03-17,0.004439623784866065
2000-03-20,0.0037629395295430967
2000-03-21,0.003842373875928118
2000-03-22,-0.0013103708351973609
2000-03-23,0.006348634898309058
2000-03-24,-0.0018630652803937053
2000-03-27,-0.001119507533659636
2000-03-28,-0.011547797667105897
2000-03-29,-0.00283688133519977
2000-03-30,-0.0006630985891620256
2000-03-31,-0.026891085454826325
2000-04-03,0.020140406145847223
2000-04-04,0.004853685474430769
2000-04-05,-0.0031379286909274384
2000-04-06,-0.0020974361774497297
2000-04-07,0.005235364868377168
2000-04-10,0.009825303415123443
2000-04-11,0.005437853264840697
2000-04-12,-0.010243969098572947
2000-04-13,-0.00094509032646517
2000-04-14,-0.0060698213670757895
2000-04-17,-0.008886399312208582
2000-04-18,0.003831789342084946
2000-04-19,0.0033408134923886834
2000-04-20,0.004848148666217966
2000-04-21,0.004069470434116873
2000-04-24,-0.002079985622731151
2000-04-25,0.00047310404440192855
2000-04-26,0.00706983196403943
2000-04-27,-0.0009397613697919027
2000-04-28,0.01511645841532161
2000-05-01,0.008392173567829175
2000-05-02,-0.002390585912309895
2000-05-03,0.004683849312425714
2000-05-04,-0.00892739811588772
2000-05-05,0.0033225688157259015
2000-05-08,0.004596441260366291
2000-05-09,0.005305537509341818
2000-05-10,-0.0025577797812381675
2000-05-11,-0.007897194394267615
2000-05-12,0.002486074665648097
2000-05-15,0.006782172454704138
2000-05-16,0.0024631677828024223
2000-05-17,-0.0020065676196256987
2000-05-18,-0.007606690208491251
2000-05-19,-0.016791525841309607
2000-05-22,0.0012154645973048162
2000-05-23,-0.0028071507158458076
2000-05-24,0.008026174677783438
2000-05-25,-0.0009299730978060694
2000-05-26,-0.002795119680586211
2000-05-30,-0.0069282179572160985
2000-05-31,0.01213947114289926
2000-06-01,0.009238794465386668
2000-06-02,-0.0054405593187061285
2000-06-05,-0.006586600184085967
2000-06-06,-0.016895464786050418
2000-06-07,-0.001326134512810384
2000-06-08,0.003406513513720455
2000-06-09,0.008653176642198446
2000-06-12,-0.0012181981546808274
2000-06-13,0.0013118442660946528
2000-06-14,0.0009359791024001751
2000-06-15,-0.0034675073401224665
2000-06-16,-0.002820345951478842
2000-06-19,-0.004529164186949153
2000-06-20,-0.0030308793802431566
2000-06-21,0.0007585814890607168
2000-06-22,-0.01048127746758265
2000-06-23,0.00181826931763851
2000-06-26,0.010178446969992372
2000-06-27,-0.0012311190531706373
2000-06-28,-0.00018953752899797394
2000-06-29,-0.0039886092764955805
2000-06-30,0.009941851522243361
2000-07-03,-0.004721889970817017
2000-07-05,0.011950271596476547
2000-07-06,0.004293454420635889
2000-07-07,0.004089605104982574
2000-07-10,-0.006607441097323807
2000-07-11,-0.0015885626851375179
2000-07-12,0.013284602448329075
2000-07-13,-0.0008309098940877391
2000-07-14,-0.003608609051277689
2000-07-17,0.006007134186394758
2000-07-18,-0.0021214784509790974
2000-07-19,-0.0009237875945631302
2000-07-20,-0.002869176849133126
2000-07-21,0.010969368414139424
2000-07-24,-0.0014678901718285786
2000-07-25,0.0034827273769337808
2000-07-26,-0.00018299936001309192
2000-07-27,-0.0011903128265267071
2000-07-28,0.004387976690495066
2000-07-31,0.00045597556761034497
2000-08-01,-0.0019164961375928158
2000-08-02,-0.006414978010706562
2000-08-03,-0.003776543888864836
2000-08-04,0.0016597514183640527
2000-08-07,0.004137366265961617
2000-08-08,-0.0032164710908340055
2000-08-09,-0.006001033565717684
2000-08-10,0.006553163882495383
2000-08-11,-0.0001840095690166521
2000-08-14,0.007699396422045979
2000-08-15,-0.004759298751049634
2000-08-16,-0.004136985904843016
2000-08-17,-0.0006450721322153186
2000-08-18,-0.0004610207079949191
2000-08-21,0.0009218289738335272
2000-08-22,-0.0017522022281708516
2000-08-23,-0.012258697346593905
2000-08-24,-0.0012154645973048162
2000-08-25,0.0026160904390515327
2000-08-28,-0.006740967385416852
2000-08-29,-0.0023512825316505115
2000-08-30,0.002539146518676816
2000-08-31,0.001782949845940962
2000-09-01,-0.00828473953462261
2000-09-05,0.0009449117210671432
2000-09-06,0.0018871490786516176
2000-09-07,-0.009281248554646737
2000-09-08,0.00880979505480095
2000-09-11,-0.0005660377509615344
2000-09-12,0.00901837958182039
2000-09-13,0.0016819290079732596
2000-09-14,0.0013062140315875936
2000-09-15,0.0007456426853069686
2000-09-18,-0.004295057956627879
2000-09-19,0.0014025903463537048
2000-09-20,-0.002338744692948147
2000-09-21,-0.002532003040730757
2000-09-22,0.013430532041017074
2000-09-25,-0.002876097914290554
2000-09-26,0.0
2000-09-27,-0.0017668670612245307
2000-09-28,0.0013951543908357067
2000-09-29,0.002877165658270897
2000-10-02,0.00839836969883212
2000-10-03,-0.0013795008395440789
2000-10-04,0.005781158565205224
2000-10-05,9.14954939110757e-05
2000-10-06,-0.004493153219572221
2000-10-10,-0.00839836969883212
2000-10-11,-0.002505452987882073
2000-10-12,-0.0004646624311099856
2000-10-13,0.0008362369825292149
2000-10-16,0.005834160179318815
2000-10-17,-0.001386001607876608
2000-10-18,-0.0034270398937170654
2000-10-19,0.007118783818949481
2000-10-20,0.0045038910639769725
2000-10-23,-0.005425550115393918
2000-10-24,-0.0034175436209400445
2000-10-25,-0.00027761069904830293
2000-10-26,0.0028649342639992526
2000-10-27,0.003592652751899017
2000-10-30,0.002204464932426653
2000-10-31,0.0014669480947331337
2000-11-01,-0.006157258803868082
2000-11-02,-0.0008299903644264361
2000-11-03,-0.007501076982562083
2000-11-06,-0.0022333900964142117
2000-11-07,-0.00037271711202979674
2000-11-08,0.0025131488072611674
2000-11-09,-0.0014885108339584008
2000-11-10,0.0039026252840255182
2000-11-13,-0.0012063287316381732
2000-11-14,0.004169568236725318
2000-11-15,0.0055325175697253925
2000-11-16,0.0030298880085943836
2000-11-17,-0.0020189049713339458
2000-11-20,0.008506797240587005
2000-11-21,0.004543810071414356
2000-11-22,-0.0011794058976555277
2000-11-24,0.011013923741122866
2000-11-27,-0.006123938446931376
2000-11-28,-0.004254747739366849
2000-11-29,0.009480455639963026
2000-11-30,-0.0031501758646186317
2000-12-01,0.001981268659636548
2000-12-04,-0.0007200072311768224
2000-12-05,-0.0006304318666945363
2000-12-06,-0.005238924456435257
2000-12-07,0.002532562858692522
2000-12-08,0.005315567270742783
2000-12-11,-0.004683427456492417
2000-12-12,0.006568611371331912
2000-12-13,0.008039346559417737
2000-12-14,0.000177920114337482
2000-12-15,0.0011557097788124082
2000-12-18,-0.004363125215602892
2000-12-19,0.004363125215602892
2000-12-20,0.00026651268313937493
2000-12-21,-0.0035593559556899024
2000-12-22,0.005068254302597275
2000-12-26,0.00768656874619289
2000-12-27,0.005091750092929281
2000-12-28,0.003671011901681176
2000-12-29,-0.0023583886548008692
2001-01-02,0.003317621342261212
2001-01-03,-0.004104988514734842
2001-01-04,0.010534202667447978
2001-01-05,0.006216026231006033
2001-01-08,-0.0018952452261586927
2001-01-09,0.005760731291736043
2001-01-10,-0.0032632059871433583
2001-01-11,0.011119779277511732
2001-01-12,0.001699813429850039
2001-01-16,-0.00408441684222538
2001-01-17,0.00908209782165148
2001-01-18,-0.004827858443567479
2001-01-19,-0.004680660432688555
2001-01-22,-0.005217031289726393
2001-01-23,0.002825707236177699
2001-01-24,0.010462392887340854
2001-01-25,-0.01080447789880079
2001-01-26,0.002136113940804485
2001-01-29,-0.004191085123766314
2001-01-30,-0.00791674386942276
2001-01-31,0.005513927987541578
2001-02-01,-0.009149036716037173
2001-02-02,0.002770804439600205
2001-02-05,-0.005723220616874691
2001-02-06,-0.0009570627606594329
2001-02-07,0.011510793934868424
2001-02-08,0.0007741602898363453
2001-02-09,0.01086084135503107
2001-02-12,0.00042518815216041617
2001-02-13,-0.0027243333723800944
2001-02-14,-0.005556757191991224
2001-02-15,-0.00843668916012863
2001-02-16,-0.0018171596745224505
2001-02-20,0.0009522573545623914
2001-02-21,0.00758558934299991
2001-02-22,0.0006867542548221195
2001-02-23,-0.003266291368754004
2001-02-26,0.0041240714865402595
2001-02-27,-0.003693686285147102
2001-02-28,0.009251393720529855
2001-03-01,0.00042623929719098896
2001-03-02,0.014637090289712162
2001-03-05,0.00016796842233102183
2001-03-06,-0.0017650771550421496
2001-03-07,0.008293936037506278
